,M_atk_dice,N_def_dice,Phr,Ph,Pe,atk_tl,atk_f,def_f,def_num_ev,EV_res,atk_ev,def_ev,pe,ph
177,2,3,[0.1373 0.3387 0.5239],,,False,True,False,0,0.6134,1.5,False,[0.0527 0.2637 0.4395 0.2441],[0.     0.5625 0.375  0.0625]
178,2,3,[0.     0.3845 0.6155],,,False,True,False,1,0.3845,1.5,False,[0.0527 0.2637 0.6836 0.    ],[0.     0.5625 0.375  0.0625]
179,2,3,[0. 0. 1.],,,False,True,False,2,0.0,1.5,False,[0.0527 0.9473 0.     0.    ],[0.     0.5625 0.375  0.0625]
180,2,3,[0.0297 0.1681 0.8022],,,True,False,True,0,0.2274,1.5,True,[0.2441 0.4395 0.2637 0.0527],[0.     0.5625 0.375  0.0625]
181,2,3,[0.     0.3845 0.6155],,,True,False,True,1,0.3845,1.5,True,[0.0527 0.2637 0.6836 0.    ],[0.     0.5625 0.375  0.0625]
182,2,3,[0. 0. 1.],,,True,False,True,2,0.0,1.5,True,[0.0527 0.9473 0.     0.    ],[0.     0.5625 0.375  0.0625]
183,2,3,[0.1373 0.3387 0.5239],,,True,False,False,0,0.6134,1.5,False,[0.0527 0.2637 0.4395 0.2441],[0.     0.5625 0.375  0.0625]
184,2,3,[0.     0.3845 0.6155],,,True,False,False,1,0.3845,1.5,False,[0.0527 0.2637 0.6836 0.    ],[0.     0.5625 0.375  0.0625]
185,2,3,[0. 0. 1.],,,True,False,False,2,0.0,1.5,False,[0.0527 0.9473 0.     0.    ],[0.     0.5625 0.375  0.0625]
186,2,3,[0.0132 0.0923 0.8945],,,False,False,True,0,0.1187,1.0,True,[0.2441 0.4395 0.2637 0.0527],[0.   0.25 0.5  0.25]
187,2,3,[0.     0.1709 0.8291],,,False,False,True,1,0.1709,1.0,True,[0.0527 0.2637 0.6836 0.    ],[0.   0.25 0.5  0.25]
188,2,3,[0. 0. 1.],,,False,False,True,2,0.0,1.0,True,[0.0527 0.9473 0.     0.    ],[0.   0.25 0.5  0.25]
189,2,3,[0.061  0.2319 0.707 ],,,False,False,False,0,0.354,1.0,False,[0.0527 0.2637 0.4395 0.2441],[0.   0.25 0.5  0.25]
